Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
Pañoleta_Emilie_Negra,Pañoleta Emilie Negra,"Pañoleta negra con estampado en seda",eléntari-shop,"Complementos","Pañoleta, Negra, Estampada, Accesorios",true,Talla,U,COLOR,NEGRO,,,PN02NU,60.0,shopify,8.0,deny,manual,35000.0,,true,true,,https://losdemarketing.com/ent/panoleta-emilie-negra-1.jpg,1,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ent/panoleta-emilie-negra-1.jpg,kg,,,active
Pañoleta_Emilie_Negra,,,,,,,,,,,,,,,,,,,,,,,,https://losdemarketing.com/ent/panoleta-emilie-negra-2.jpg,2,,,,,,,,,,,,,,,,,,,,,,
Pañoleta_Emilie_Negra,,,,,,,,,,,,,,,,,,,,,,,,https://losdemarketing.com/ent/panoleta-emilie-negra-3.jpg,3,,,,,,,,,,,,,,,,,,,,,,
